"","drug_concept_id","denominator_value","denominator_unit_concept_id","numerator_value","numerator_unit_concept_id","concept_name","quantity","n"
"141",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",110,1
"142",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",110,5
"143",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",111,2
"144",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",112.5,500
"145",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",112.5,379
"146",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",112.5,32
"147",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",112.5,1
"148",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",112.5,15
"149",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",112.5,26
"150",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",113,2
"151",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",115,2
"152",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",120,1
"153",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",120,5
"154",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",120,7
"155",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",120,1
"156",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",120,1
"157",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",120,10
"158",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",125,6
"159",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",125,2
"160",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",125,5
"161",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",125,4
"162",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",130,4
"163",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",135,1
"164",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",135,1
"165",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",135,4
"166",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",140,12
"167",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",150,89
"168",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",150,83
"169",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",150,2279
"170",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",150,136
"171",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",150,1373
"172",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",150,1675
"173",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",150,37024
"174",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",150,1335
"175",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",150,2366
"176",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",170,19
"177",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",170,3
"178",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",180,4
"179",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",180,3
"180",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",180,1
"181",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",180,28
"182",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",187.5,3
"183",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",187.5,1
"184",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",187.5,11
"185",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",187.5,2
"186",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",187.5,3
"187",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",190,10
"188",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",202.5,1
"189",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",215,2
"190",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",220,3
"191",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",220,5
"192",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",225,103
"193",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",225,86
"194",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",225,1375
"195",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",225,113
"196",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",225,696
"197",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",225,487
"198",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",225,320
"199",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",225,20
"200",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",225,26
"201",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",250,8
"202",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",250,2
"203",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",262.5,1
"204",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",262.5,3
"205",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",270,1
"206",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",270,5
"207",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",280,4
"208",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",280,1
"209",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",290,2
"210",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",300,6
"211",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",300,2
"212",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",300,164
"213",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",300,19
"214",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",300,58
"215",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",300,28
"216",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",300,9739
"217",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",300,613
"218",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",300,666
"219",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",325,1
"220",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",325,1
"221",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",337.5,20
"222",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",337.5,16
"223",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",337.5,2
"224",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",337.5,7
"225",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",340,2
"226",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",357.5,1
"227",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",357.5,4
"228",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",357.5,1
"229",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",360,2
"230",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",375,6
"231",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",375,17
"232",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",375,2
"233",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",375,4
"234",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",375,9
"235",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",393.75,1
"236",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",425,1
"237",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",435,1
"238",45892519,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel",450,6
"239",45892520,1250,8576,20.25,8576,"1250 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",450,5
"240",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",450,237
"241",45892522,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",450,9
"242",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",450,261
"243",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",450,187
"244",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",450,5483
"245",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",450,159
"246",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",450,223
"247",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",525,3
"248",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",562.5,2
"249",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",562.5,2
"250",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",565,1
"251",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",585,1
"252",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",600,2
"253",45892523,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel",600,3
"254",45892524,2500,8576,40.5,8576,"2500 MG testosterone 0.0162 MG/MG Topical Gel [Androgel]",600,2
"255",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",600,144
"256",45892526,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Androgel]",600,14
"257",45892527,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel [Testim]",600,10
"258",45892525,5000,8576,50,8576,"5000 MG testosterone 0.01 MG/MG Topical Gel",650,2
"259",45892521,2500,8576,25,8576,"2500 MG testosterone 0.01 MG/MG Topical Gel",675,84
