"pattern_file_id","pattern_id","formula_id","validity","number_concepts","number_ingredients","number_records","amount_numeric","amount_unit_concept_id","numerator_numeric","numerator_unit_concept_id","denominator_numeric","denominator_unit_concept_id","cdm_name"
54,NA,NA,"pattern with no formula",67,4,176249,0,9573,0,NA,0,NA,"PHARMETRICS"
55,NA,NA,"pattern with no formula",141,11,321,0,8554,0,NA,0,NA,"PHARMETRICS"
56,NA,NA,"pattern with no formula",49,5,0,0,9379,0,NA,0,NA,"PHARMETRICS"
57,NA,NA,"pattern with no formula",9919,446,4886952,0,8510,0,NA,0,NA,"PHARMETRICS"
58,NA,NA,"pattern with no formula",10,2,2,0,32018,0,NA,0,NA,"PHARMETRICS"
59,NA,NA,"pattern with no formula",18,5,0,0,NA,1,9276,1,8587,"PHARMETRICS"
60,NA,NA,"pattern with no formula",23,5,0,0,NA,1,9276,0,8587,"PHARMETRICS"
61,NA,NA,"pattern with no formula",30,3,0,0,NA,1,9414,1,8587,"PHARMETRICS"
62,NA,NA,"pattern with no formula",27,3,0,0,NA,1,9414,0,8587,"PHARMETRICS"
63,NA,NA,"pattern with no formula",40,4,16,0,NA,1,45744811,0,8587,"PHARMETRICS"
64,NA,NA,"pattern with no formula",13,3,0,0,NA,1,45744815,1,8587,"PHARMETRICS"
65,NA,NA,"pattern with no formula",15,3,0,0,NA,1,45744815,0,8587,"PHARMETRICS"
66,NA,NA,"pattern with no formula",33,4,0,0,NA,1,45744810,1,8587,"PHARMETRICS"
67,NA,NA,"pattern with no formula",120,14,24,0,NA,1,45744810,0,8587,"PHARMETRICS"
68,NA,NA,"pattern with no formula",345,30,1135,0,NA,1,45744812,1,8587,"PHARMETRICS"
69,NA,NA,"pattern with no formula",17,1,0,0,NA,1,45744812,1,9483,"PHARMETRICS"
70,NA,NA,"pattern with no formula",333,31,0,0,NA,1,45744812,0,8587,"PHARMETRICS"
71,NA,NA,"pattern with no formula",14,1,0,0,NA,1,45744812,0,9483,"PHARMETRICS"
72,NA,NA,"pattern with no formula",2,1,0,0,NA,1,45744813,0,8587,"PHARMETRICS"
73,NA,NA,"pattern with no formula",3,1,0,0,NA,1,9278,1,8587,"PHARMETRICS"
74,NA,NA,"pattern with no formula",5,2,0,0,NA,1,9278,0,8587,"PHARMETRICS"
75,NA,NA,"pattern with no formula",12,5,0,0,NA,1,9302,1,8587,"PHARMETRICS"
76,NA,NA,"pattern with no formula",20,5,0,0,NA,1,9302,0,8587,"PHARMETRICS"
77,NA,NA,"pattern with no formula",107,50,0,0,NA,1,9324,1,NA,"PHARMETRICS"
78,NA,NA,"pattern with no formula",2616,584,0,0,NA,1,9324,0,NA,"PHARMETRICS"
79,NA,NA,"pattern with no formula",8907,760,0,0,NA,1,9325,1,NA,"PHARMETRICS"
80,NA,NA,"pattern with no formula",15662,1107,0,0,NA,1,9325,0,NA,"PHARMETRICS"
81,NA,NA,"pattern with no formula",6,1,0,0,NA,1,9693,1,8587,"PHARMETRICS"
82,NA,NA,"pattern with no formula",12,1,0,0,NA,1,9693,0,8587,"PHARMETRICS"
83,NA,NA,"pattern with no formula",46,5,0,0,NA,1,8718,1,8576,"PHARMETRICS"
84,NA,NA,"pattern with no formula",848,63,0,0,NA,1,8718,1,8587,"PHARMETRICS"
85,NA,NA,"pattern with no formula",38,5,0,0,NA,1,8718,0,8576,"PHARMETRICS"
86,NA,NA,"pattern with no formula",844,68,0,0,NA,1,8718,0,8587,"PHARMETRICS"
87,NA,NA,"pattern with no formula",101,3,0,0,NA,1,45744814,1,8587,"PHARMETRICS"
88,NA,NA,"pattern with no formula",114,3,0,0,NA,1,45744814,0,8587,"PHARMETRICS"
89,NA,NA,"pattern with no formula",2,1,0,0,NA,1,9439,0,8587,"PHARMETRICS"
90,NA,NA,"pattern with no formula",12,5,1497,0,NA,1,44819154,1,8587,"PHARMETRICS"
91,NA,NA,"pattern with no formula",20,5,0,0,NA,1,44819154,0,8587,"PHARMETRICS"
92,NA,NA,"pattern with no formula",51,8,116128,0,NA,1,9551,1,8587,"PHARMETRICS"
93,NA,NA,"pattern with no formula",16,2,1200,0,NA,1,9551,0,8576,"PHARMETRICS"
94,NA,NA,"pattern with no formula",9,2,0,0,NA,1,8576,1,8519,"PHARMETRICS"
95,NA,NA,"pattern with no formula",132466,2063,93541,0,NA,1,8576,1,8576,"PHARMETRICS"
96,NA,NA,"pattern with no formula",229,12,0,0,NA,1,8576,1,9483,"PHARMETRICS"
97,NA,NA,"pattern with no formula",23,2,0,0,NA,1,8576,1,8510,"PHARMETRICS"
98,NA,NA,"pattern with no formula",6,2,0,0,NA,1,8576,0,8519,"PHARMETRICS"
99,NA,NA,"pattern with no formula",176,18,2805,0,NA,1,8576,0,9483,"PHARMETRICS"
100,NA,NA,"pattern with no formula",37,5,0,0,NA,1,8576,0,8510,"PHARMETRICS"
101,NA,NA,"pattern with no formula",37,9,0,0,NA,1,8587,1,8576,"PHARMETRICS"
102,NA,NA,"pattern with no formula",44,9,0,0,NA,1,8587,0,8576,"PHARMETRICS"
103,NA,NA,"pattern with no formula",95,1,0,0,NA,1,9573,1,8576,"PHARMETRICS"
104,NA,NA,"pattern with no formula",979,34,0,0,NA,1,9573,1,8587,"PHARMETRICS"
105,NA,NA,"pattern with no formula",54,1,0,0,NA,1,9573,0,8576,"PHARMETRICS"
106,NA,NA,"pattern with no formula",479,36,0,0,NA,1,9573,0,8587,"PHARMETRICS"
107,NA,NA,"pattern with no formula",626,5,0,0,NA,1,8554,1,NA,"PHARMETRICS"
108,NA,NA,"pattern with no formula",883,14,496,0,NA,1,8554,0,NA,"PHARMETRICS"
109,NA,NA,"pattern with no formula",167,16,0,0,NA,1,9379,1,8587,"PHARMETRICS"
110,NA,NA,"pattern with no formula",179,17,0,0,NA,1,9379,0,8587,"PHARMETRICS"
111,NA,NA,"pattern with no formula",4,2,1,0,NA,1,45744816,0,8587,"PHARMETRICS"
112,NA,NA,"pattern with no formula",86,7,0,0,NA,1,8510,1,45744809,"PHARMETRICS"
113,NA,NA,"pattern with no formula",3,2,301,0,NA,1,8510,1,8505,"PHARMETRICS"
114,NA,NA,"pattern with no formula",7041,56,0,0,NA,1,8510,1,8576,"PHARMETRICS"
115,NA,NA,"pattern with no formula",27026,297,11944760,0,NA,1,8510,1,8587,"PHARMETRICS"
116,NA,NA,"pattern with no formula",79,3,0,0,NA,1,8510,1,9483,"PHARMETRICS"
117,NA,NA,"pattern with no formula",23,4,0,0,NA,1,8510,1,8510,"PHARMETRICS"
118,NA,NA,"pattern with no formula",87,7,32520,0,NA,1,8510,0,45744809,"PHARMETRICS"
119,NA,NA,"pattern with no formula",4502,67,713462,0,NA,1,8510,0,8576,"PHARMETRICS"
120,NA,NA,"pattern with no formula",20908,617,7295159,0,NA,1,8510,0,8587,"PHARMETRICS"
121,NA,NA,"pattern with no formula",63,3,0,0,NA,1,8510,0,9483,"PHARMETRICS"
122,NA,NA,"pattern with no formula",17,4,0,0,NA,1,8510,0,8510,"PHARMETRICS"
123,NA,NA,"pattern with no formula",474,2,4,0,NA,1,32018,1,8587,"PHARMETRICS"
124,NA,NA,"pattern with no formula",32,2,0,0,NA,1,32018,0,8587,"PHARMETRICS"
125,NA,NA,"pattern with no formula",76,5,0,0,NA,1,NA,0,NA,"PHARMETRICS"
126,NA,NA,"pattern with no formula",4,3,0,0,NA,0,NA,0,NA,"PHARMETRICS"
NA,NA,NA,"no pattern",NA,NA,63512570,NA,NA,NA,NA,NA,NA,"PHARMETRICS"
