"","denominator_value","numerator_value","drug_concept_id","drug_name","conc_1_exct","conc_2_exct","conc_3_exct","conc_4_exct","conc_5_exct","conc_6_exct","conc_7_exct","conc_8_exct","conc_9_exct"
"13",1010,1160,587748,"1010 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,0.631,587923,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"15",NA,0.777,587923,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"16",NA,1.21,587923,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"17",NA,0.0728,587923,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"18",NA,0.413,587923,"cajuput oil 0.631 MG/MG / Camphor 1.21 MG/MG / LEVOMENTHOL 0.413 MG/MG / Mentha piperita extract 0.777 MG/MG / Syzygium aromaticum whole extract 0.0728 MG/MG Topical Ointment",0.631,1.21,0.413,0.777,0.0728,NA,NA,NA,NA
"19",2020,2320,588119,"2020 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"20",1000,1150,588122,"1000 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"21",1010,1160,588153,"1010 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,1.15,588197,"cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020,2320,588424,"2020 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"24",2000,2300,588825,"2000 MG cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"25",2000,2300,589254,"2000 MG cefepime 1.15 MG/MG Injection Box of 5",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,1.15,589372,"cefepime 1.15 MG/MG Injection",1.15,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,0.0015,916547,"benzalkonium 0.0015 MG/MG / ethanol 3.5 ML/ML Topical Ointment",0.0015,3.5,NA,NA,NA,NA,NA,NA,NA
"28",NA,3.5,916547,"benzalkonium 0.0015 MG/MG / ethanol 3.5 ML/ML Topical Ointment",0.0015,3.5,NA,NA,NA,NA,NA,NA,NA
"29",NA,30,1145732,"sulfur 30 MG/MG",30,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,30,1145733,"sulfur 30 MG/MG Paste",30,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,40,1146651,"hydrogen peroxide 40 ML/ML",40,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,0.7,1146654,"ethanol 0.7 ML/ML / hydrogen peroxide 40 ML/ML Topical Spray",0.7,40,NA,NA,NA,NA,NA,NA,NA
"33",NA,40,1146654,"ethanol 0.7 ML/ML / hydrogen peroxide 40 ML/ML Topical Spray",0.7,40,NA,NA,NA,NA,NA,NA,NA
"34",NA,7,19023459,"ethanol 7 ML/ML Topical Gel",7,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,8.7,19028131,"isopropyl alcohol 8.7 ML/ML",8.7,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,9.8,19059936,"isopropyl alcohol 9.8 ML/ML Topical Solution",9.8,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,2,19060918,"ethanol 2 ML/ML Topical Lotion",2,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,3.87,19060942,"ethanol 3.87 ML/ML Topical Solution",3.87,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,7,19063407,"ethanol 7 ML/ML Topical Lotion",7,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,6.5,19063435,"ethanol 6.5 ML/ML Topical Gel",6.5,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,7,19072384,"ethanol 7 ML/ML Topical Solution",7,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,9.1,19072385,"isopropyl alcohol 9.1 ML/ML Topical Solution",9.1,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,9.9,19072386,"isopropyl alcohol 9.9 ML/ML Topical Solution",9.9,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,10,19080770,"formaldehyde 10 MG/ML / isopropyl alcohol 8.7 ML/ML Topical Solution",8.7,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,8.7,19080770,"formaldehyde 10 MG/ML / isopropyl alcohol 8.7 ML/ML Topical Solution",8.7,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,7,19093975,"ethanol 7 ML/ML",7,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,9.1,19094977,"isopropyl alcohol 9.1 ML/ML",9.1,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,9.9,19094978,"isopropyl alcohol 9.9 ML/ML",9.9,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,3.87,19095016,"ethanol 3.87 ML/ML",3.87,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,6.5,19095017,"ethanol 6.5 ML/ML",6.5,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,2,19095018,"ethanol 2 ML/ML",2,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,3.5,19095019,"ethanol 3.5 ML/ML",3.5,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,9.8,19095071,"isopropyl alcohol 9.8 ML/ML",9.8,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,7,19099212,"denatured ethanol 7 ML/ML",7,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,3,19099435,"sennosides, USP 3 MG/MG Oral Granules",3,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,3,19099511,"sennosides, USP 3 MG/MG",3,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,80,19104506,"ethanol 1.4 ML/ML / resorcinol 20 MG/ML / sulfur 80 MG/ML Topical Cream",1.4,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,20,19104506,"ethanol 1.4 ML/ML / resorcinol 20 MG/ML / sulfur 80 MG/ML Topical Cream",1.4,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,1.4,19104506,"ethanol 1.4 ML/ML / resorcinol 20 MG/ML / sulfur 80 MG/ML Topical Cream",1.4,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,6.65,19104734,"ethanol 6.65 ML/ML Topical Gel",6.65,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,6.025,19104735,"ethanol 6.025 ML/ML Topical Gel",6.025,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,6.9,19104736,"ethanol 6.9 ML/ML Topical Gel",6.9,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,0.25,19105265,"lidocaine 50 MG/MG / triamcinolone 0.25 MG/MG Topical Ointment",50,0.25,NA,NA,NA,NA,NA,NA,NA
"64",NA,50,19105265,"lidocaine 50 MG/MG / triamcinolone 0.25 MG/MG Topical Ointment",50,0.25,NA,NA,NA,NA,NA,NA,NA
"65",NA,50,19109783,"lidocaine 50 MG/MG",50,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,6.025,19109853,"ethanol 6.025 ML/ML",6.025,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,6.65,19109854,"ethanol 6.65 ML/ML",6.65,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,6.9,19109855,"ethanol 6.9 ML/ML",6.9,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,1.4,19109856,"ethanol 1.4 ML/ML",1.4,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,7,19115206,"denatured ethanol 7 ML/ML Topical Solution",7,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,3,19126475,"hypromellose 3 MG/MG",3,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,3,19126476,"hypromellose 3 MG/MG Ophthalmic Gel",3,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,3,19126477,"hypromellose 3 MG/MG [GenTeal]",3,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,3,19126478,"hypromellose 3 MG/MG Ophthalmic Gel [GenTeal]",3,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,2500,35409778,"Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,2500,35410282,"Water 2500 ML/ML",2500,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,2500,35412114,"Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"78",100,250000,35414916,"100 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"79",100,250000,35414973,"100 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"80",100,250000,35415052,"100 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"81",250,625000,35415386,"250 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"82",250,625000,35415407,"250 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"83",250,625000,35415453,"250 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"84",500,1250000,35415696,"500 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"85",500,1250000,35415712,"500 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"86",500,1250000,35415888,"500 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"87",1000,2500000,35416235,"1000 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"88",1000,2500000,35416317,"1000 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"89",1000,2500000,35416323,"1000 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,30,35603096,"shark liver oil 30 ML/ML",30,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,120,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,180,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,2.5,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,30,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,19,35604678,"zinc oxide 19 MG/MG",19,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,19,35604679,"zinc oxide 19 MG/MG Topical Ointment",19,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,2.85,40161369,"petrolatum 2.85 MG/MG",2.85,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,0.091,40161370,"petrolatum 2.85 MG/MG / zinc oxide 0.091 MG/MG Topical Ointment",2.85,0.091,NA,NA,NA,NA,NA,NA,NA
"99",NA,2.85,40161370,"petrolatum 2.85 MG/MG / zinc oxide 0.091 MG/MG Topical Ointment",2.85,0.091,NA,NA,NA,NA,NA,NA,NA
"100",NA,840,40170541,"ferrous sulfate 840 MG/MG",840,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,840,40170542,"ferrous sulfate 840 MG/MG Topical Powder",840,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,1.03,40223373,"calcium citrate 1.03 MG/MG",1.03,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,1.03,40223374,"calcium citrate 1.03 MG/MG Oral Granules",1.03,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,200,40227691,"benzocaine 200 MG/ML / menthol 9.5 ML/ML Medicated Pad",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,9.5,40227691,"benzocaine 200 MG/ML / menthol 9.5 ML/ML Medicated Pad",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,9.5,40228516,"menthol 9.5 ML/ML",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,0.278,40821754,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"108",NA,0.278,40821754,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"109",NA,1.25,40821754,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"110",NA,0.139,40821754,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"111",NA,0.556,40821754,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"112",NA,0.278,40821754,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"113",NA,5,40822586,"Calcium 5 MG/MG",5,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,2.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"115",NA,2.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"116",NA,3.75,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"117",NA,2.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"118",NA,9.38,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"119",NA,7.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"120",NA,6.88,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"121",NA,11.9,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"122",NA,8.13,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"123",NA,7.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"124",NA,2.83,40825786,"Ichtyolammonium 2.83 MG/MG Topical Ointment Box of 1",2.83,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,1.25,40826285,"Senna Leaves 1.25 MG/MG",1.25,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,7.5,40826442,"Polygonum aviculare top extract 7.5 MG/MG",7.5,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,4,40826674,"Melissa officinalis extract 4 MG/MG",4,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,3.33,40826697,"Matricaria chamomilla flowering top oil 3.33 MG/MG",3.33,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,14.4,40826885,"Humulus lupulus whole extract 14.4 MG/MG",14.4,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,5.75,40826888,"Humulus lupulus whole extract 5.75 MG/MG",5.75,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,9.5,40827229,"CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,7.62,40827886,"Somatropin 7.62 MG/MG [Humatrope]",7.62,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,1.43,40828204,"Paromomycin 1.43 MG/MG [Humatin Pulvis]",1.43,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,2.83,40828777,"Ichtyolammonium 2.83 MG/MG [Ichtholan]",2.83,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,10,40829517,"Clotrimazole 10 MG/MG [Antifungol Hexal]",10,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,1.8,40835477,"Lidocaine 1.8 MG/MG Topical Solution",1.8,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,4,40837547,"Capsicum extract 4 MG/MG Topical Ointment Box of 1",4,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,1.25,40837861,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution Box of 8",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"139",NA,0.278,40837861,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution Box of 8",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"140",NA,0.278,40837861,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution Box of 8",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"141",NA,0.278,40837861,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution Box of 8",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"142",NA,0.556,40837861,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution Box of 8",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"143",NA,0.139,40837861,"Apple extract 0.556 MG/MG / Betula pubescens bark extract 0.278 MG/MG / Charcoal 0.139 MG/MG / HIbiscus mutabilis flower extract 0.278 MG/MG / Juniperus communis whole extract 0.278 MG/MG / Senna Leaves 1.25 MG/MG Oral Solution Box of 8",0.556,0.278,0.139,0.278,0.278,1.25,NA,NA,NA
"144",NA,0.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"145",NA,2,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"146",NA,3.25,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"147",NA,4,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"148",NA,5.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
