"","denominator_value","numerator_value","drug_concept_id","drug_name","conc_1_exct","conc_2_exct","conc_3_exct","conc_4_exct","conc_5_exct","conc_6_exct","conc_7_exct","conc_8_exct","conc_9_exct"
"22",NA,3.87,19095016,"ethanol 3.87 ML/ML",3.87,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,6.5,19095017,"ethanol 6.5 ML/ML",6.5,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,3.5,19095019,"ethanol 3.5 ML/ML",3.5,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,9.8,19095071,"isopropyl alcohol 9.8 ML/ML",9.8,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,7,19099212,"denatured ethanol 7 ML/ML",7,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,3,19099435,"sennosides, USP 3 MG/MG Oral Granules",3,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,3,19099511,"sennosides, USP 3 MG/MG",3,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,6.65,19104734,"ethanol 6.65 ML/ML Topical Gel",6.65,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,6.025,19104735,"ethanol 6.025 ML/ML Topical Gel",6.025,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,6.9,19104736,"ethanol 6.9 ML/ML Topical Gel",6.9,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,0.25,19105265,"lidocaine 50 MG/MG / triamcinolone 0.25 MG/MG Topical Ointment",50,0.25,NA,NA,NA,NA,NA,NA,NA
"33",NA,50,19105265,"lidocaine 50 MG/MG / triamcinolone 0.25 MG/MG Topical Ointment",50,0.25,NA,NA,NA,NA,NA,NA,NA
"34",NA,50,19109783,"lidocaine 50 MG/MG",50,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,6.025,19109853,"ethanol 6.025 ML/ML",6.025,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,6.65,19109854,"ethanol 6.65 ML/ML",6.65,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,6.9,19109855,"ethanol 6.9 ML/ML",6.9,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,7,19115206,"denatured ethanol 7 ML/ML Topical Solution",7,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,3,19126475,"hypromellose 3 MG/MG",3,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,3,19126476,"hypromellose 3 MG/MG Ophthalmic Gel",3,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,3,19126477,"hypromellose 3 MG/MG [GenTeal]",3,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,3,19126478,"hypromellose 3 MG/MG Ophthalmic Gel [GenTeal]",3,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,2500,35409778,"Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,2500,35410282,"Water 2500 ML/ML",2500,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,2500,35412114,"Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"46",100,250000,35414916,"100 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"47",100,250000,35414973,"100 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"48",100,250000,35415052,"100 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"49",250,625000,35415386,"250 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"50",250,625000,35415407,"250 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"51",250,625000,35415453,"250 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"52",500,1250000,35415696,"500 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"53",500,1250000,35415712,"500 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"54",500,1250000,35415888,"500 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"55",1000,2500000,35416235,"1000 ML Water 2500 ML/ML Prefilled Syringe Box of 1",2500,NA,NA,NA,NA,NA,NA,NA,NA
"56",1000,2500000,35416317,"1000 ML Water 2500 ML/ML Prefilled Syringe Box of 1 by Braun",2500,NA,NA,NA,NA,NA,NA,NA,NA
"57",1000,2500000,35416323,"1000 ML Water 2500 ML/ML Prefilled Syringe",2500,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,30,35603096,"shark liver oil 30 ML/ML",30,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,120,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,180,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,2.5,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,30,35603098,"glycerin 120 MG/ML / petrolatum 180 MG/ML / phenylephrine hydrochloride 2.5 MG/ML / shark liver oil 30 ML/ML Rectal Cream",30,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,19,35604678,"zinc oxide 19 MG/MG",19,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,19,35604679,"zinc oxide 19 MG/MG Topical Ointment",19,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,2.85,40161369,"petrolatum 2.85 MG/MG",2.85,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,0.091,40161370,"petrolatum 2.85 MG/MG / zinc oxide 0.091 MG/MG Topical Ointment",2.85,0.091,NA,NA,NA,NA,NA,NA,NA
"67",NA,2.85,40161370,"petrolatum 2.85 MG/MG / zinc oxide 0.091 MG/MG Topical Ointment",2.85,0.091,NA,NA,NA,NA,NA,NA,NA
"68",NA,840,40170541,"ferrous sulfate 840 MG/MG",840,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,840,40170542,"ferrous sulfate 840 MG/MG Topical Powder",840,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,200,40227691,"benzocaine 200 MG/ML / menthol 9.5 ML/ML Medicated Pad",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,9.5,40227691,"benzocaine 200 MG/ML / menthol 9.5 ML/ML Medicated Pad",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,9.5,40228516,"menthol 9.5 ML/ML",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,5,40822586,"Calcium 5 MG/MG",5,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,2.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"75",NA,2.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"76",NA,3.75,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"77",NA,2.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"78",NA,9.38,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"79",NA,7.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"80",NA,6.88,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"81",NA,11.9,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"82",NA,8.13,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"83",NA,7.5,40822802,"Calendula officinalis extract 2.5 MG/MG / Cetraria islandica subsp. islandica extract 6.88 MG/MG / Foeniculum vulgare whole extract 9.38 MG/MG / Lamium album extract 2.5 MG/MG / ... Oral Solution [Salus Bronchial] Box of 15",2.5,6.88,9.38,2.5,NA,NA,NA,NA,NA
"84",NA,2.83,40825786,"Ichtyolammonium 2.83 MG/MG Topical Ointment Box of 1",2.83,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,7.5,40826442,"Polygonum aviculare top extract 7.5 MG/MG",7.5,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,4,40826674,"Melissa officinalis extract 4 MG/MG",4,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,3.33,40826697,"Matricaria chamomilla flowering top oil 3.33 MG/MG",3.33,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,14.4,40826885,"Humulus lupulus whole extract 14.4 MG/MG",14.4,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,5.75,40826888,"Humulus lupulus whole extract 5.75 MG/MG",5.75,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,9.5,40827229,"CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG",9.5,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,7.62,40827886,"Somatropin 7.62 MG/MG [Humatrope]",7.62,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,2.83,40828777,"Ichtyolammonium 2.83 MG/MG [Ichtholan]",2.83,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,10,40829517,"Clotrimazole 10 MG/MG [Antifungol Hexal]",10,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,4,40837547,"Capsicum extract 4 MG/MG Topical Ointment Box of 1",4,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,0.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"96",NA,2,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"97",NA,3.25,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"98",NA,4,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"99",NA,5.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"100",NA,4.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"101",NA,1.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"102",NA,1,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"103",NA,0.75,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"104",NA,1,40838301,"Bellis perennis extract 0.75 MG/MG / Chamaemelum Nobile Flower extract 1 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 4.75 MG/MG / cudweed flower extract 0.75 MG/MG / Foeniculum vulgare whole extract 2 MG/MG / ... Oral Solution",0.75,1,4.75,0.75,2,NA,NA,NA,NA
"105",NA,2.25,40848154,"CITRUS AURANTIUM LEAFY TWIG OIL 2.25 MG/MG / Glycyrrhiza glabra extract 2.25 MG/MG / Matricaria chamomilla flowering top oil 2.25 MG/MG Oral Solution [Schlaf Nerven] Box of 20",2.25,2.25,2.25,NA,NA,NA,NA,NA,NA
"106",NA,2.25,40848154,"CITRUS AURANTIUM LEAFY TWIG OIL 2.25 MG/MG / Glycyrrhiza glabra extract 2.25 MG/MG / Matricaria chamomilla flowering top oil 2.25 MG/MG Oral Solution [Schlaf Nerven] Box of 20",2.25,2.25,2.25,NA,NA,NA,NA,NA,NA
"107",NA,2.25,40848154,"CITRUS AURANTIUM LEAFY TWIG OIL 2.25 MG/MG / Glycyrrhiza glabra extract 2.25 MG/MG / Matricaria chamomilla flowering top oil 2.25 MG/MG Oral Solution [Schlaf Nerven] Box of 20",2.25,2.25,2.25,NA,NA,NA,NA,NA,NA
"108",NA,4,40848973,"Capsicum extract 4 MG/MG Topical Ointment [Thermo Buerger] Box of 1",4,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,8,40857947,"Melissa officinalis extract 8 MG/MG",8,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,10,40857951,"Melissa officinalis extract 10 MG/MG",10,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,10,40858493,"Clotrimazole 10 MG/MG",10,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,10,40858535,"Chloramphenicol 10 MG/MG",10,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,2.13,40860077,"Ichtyolammonium 2.13 MG/MG [Ichtholan]",2.13,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,1.5,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"115",NA,2,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"116",NA,2,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"117",NA,11.5,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"118",NA,0.03,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"119",NA,8,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"120",NA,9.5,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"121",NA,3.5,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"122",NA,4,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"123",NA,6.5,40861243,"Bellis perennis extract 0.03 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 9.5 MG/MG / cudweed flower extract 1.5 MG/MG / Foeniculum vulgare whole extract 4 MG/MG / Humulus lupulus whole extract 11.5 MG/MG / ... [Gesundform]",0.03,9.5,1.5,4,11.5,NA,NA,NA,NA
"124",NA,4.41,40882032,"Aspirin 4.41 MG/MG Oral Solution [Delgesic]",4.41,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,150,40890500,"Senna Leaves 150 MG/MG [Ramend]",150,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,14.4,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"127",NA,2.5,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"128",NA,8.13,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"129",NA,2.5,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"130",NA,4.38,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"131",NA,10,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"132",NA,11.9,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"133",NA,1.88,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"134",NA,5,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"135",NA,0.0375,40892455,"Bellis perennis extract 0.0375 MG/MG / CITRUS AURANTIUM LEAFY TWIG OIL 11.9 MG/MG / cudweed flower extract 1.88 MG/MG / Foeniculum vulgare whole extract 5 MG/MG / Humulus lupulus whole extract 14.4 MG/MG / ... [Gesundform]",0.0375,11.9,1.88,5,14.4,NA,NA,NA,NA
"136",NA,2.25,40899360,"CITRUS AURANTIUM LEAFY TWIG OIL 2.25 MG/MG / Glycyrrhiza glabra extract 2.25 MG/MG / Matricaria chamomilla flowering top oil 2.25 MG/MG Oral Solution Box of 10",2.25,2.25,2.25,NA,NA,NA,NA,NA,NA
